Number,Elapsed,Statement,Feedback,Rows
1,0.04,"CREATE TABLE ora_customers (     customer_id NUMBER,     fir",Table created.,0
2,0.04,"CREATE TABLE ora_stores (     store_id NUMBER,     store_nam",Table created.,0
3,0.03,"CREATE TABLE ora_staffs (     staff_id NUMBER,     first_nam",Table created.,0
4,0.03,"CREATE TABLE ora_orders (     order_id NUMBER,     customer_",Table created.,0
5,0.02,"CREATE TABLE ora_brands (     brand_id NUMBER NOT NULL,     ",Table created.,0
6,0.02,CREATE TABLE ora_categories (     category_id NUMBER NOT NUL,Table created.,0
7,0.03,"CREATE TABLE ora_products (     product_id NUMBER NOT NULL, ",Table created.,0
8,0.03,"CREATE TABLE ora_stocks (     store_id NUMBER NOT NULL,     ",Table created.,0
9,0.03,"CREATE TABLE ora_order_items (     order_id NUMBER NOT NULL,",Table created.,0
10,0.00,CREATE SEQUENCE customerid_seq INCREMENT BY 1 START WITH 100,"Error at line 1/17: ORA-00955: name is already used by an existing object
ORA-06512: at ""SYS.WWV_DBMS_SQL_APEX_220200"", line 828
ORA-06512: at ""SYS.DBMS_SYS_SQL"", line 1658
ORA-06512: at ""SYS.WWV_DBMS_SQL_APEX_220200"", line 813
ORA-06512: at ""APEX_220200.WWV_FLOW_DYNAMIC_EXEC"", line 2046",
11,0.00,CREATE SEQUENCE staffid_seq INCREMENT BY 1 START WITH 2001,"Error at line 1/17: ORA-00955: name is already used by an existing object
ORA-06512: at ""SYS.WWV_DBMS_SQL_APEX_220200"", line 828
ORA-06512: at ""SYS.DBMS_SYS_SQL"", line 1658
ORA-06512: at ""SYS.WWV_DBMS_SQL_APEX_220200"", line 813
ORA-06512: at ""APEX_220200.WWV_FLOW_DYNAMIC_EXEC"", line 2046",
12,0.16,"INSERT INTO ora_brands (brand_id, brand_name) VALUES (1, 'El",1 row(s) inserted.,1
13,0.00,"INSERT INTO ora_brands (brand_id, brand_name) VALUES (2, 'Ha",1 row(s) inserted.,1
14,0.00,"INSERT INTO ora_brands (brand_id, brand_name) VALUES (3, 'He",1 row(s) inserted.,1
15,0.01,"INSERT INTO ora_brands (brand_id, brand_name) VALUES (4, 'Pu",1 row(s) inserted.,1
16,0.17,"INSERT INTO ora_stores (store_id, store_name, phone, email, ",1 row(s) inserted.,1
17,0.00,"INSERT INTO ora_stores (store_id, store_name, phone, email, ",1 row(s) inserted.,1
18,0.00,"INSERT INTO ora_stores (store_id, store_name, phone, email, ",1 row(s) inserted.,1
19,0.00,"INSERT INTO ora_stores (store_id, store_name, phone, email, ","Error at line 2/72: ORA-00917: missing comma
ORA-06512: at ""SYS.WWV_DBMS_SQL_APEX_220200"", line 828
ORA-06512: at ""SYS.DBMS_SYS_SQL"", line 1658
ORA-06512: at ""SYS.WWV_DBMS_SQL_APEX_220200"", line 813
ORA-06512: at ""APEX_220200.WWV_FLOW_DYNAMIC_EXEC"", line 2046",
20,0.07,"INSERT INTO ora_categories (category_id, category_name) VALU",1 row(s) inserted.,1
21,0.00,"INSERT INTO ora_categories (category_id, category_name) VALU",1 row(s) inserted.,1
22,0.01,"INSERT INTO ora_categories (category_id, category_name) VALU",1 row(s) inserted.,1
23,0.00,"INSERT INTO ora_categories (category_id, category_name) VALU",1 row(s) inserted.,1
24,0.11,"INSERT INTO ora_products (product_id, product_name, brand_id",1 row(s) inserted.,1
25,0.00,"INSERT INTO ora_products (product_id, product_name, brand_id",1 row(s) inserted.,1
26,0.00,"INSERT INTO ora_products (product_id, product_name, brand_id",1 row(s) inserted.,1
27,0.00,"INSERT INTO ora_products (product_id, product_name, brand_id",1 row(s) inserted.,1
28,0.11,"INSERT INTO ora_customers (customer_id, first_name, last_nam","ORA-08002: sequence CUSTOMER_ID_SEQ.CURRVAL is not yet defined in this session
ORA-06512: at ""SYS.DBMS_SQL"", line 1721",
29,0.01,"INSERT INTO ora_customers (customer_id, first_name, last_nam",1 row(s) inserted.,1
30,0.00,"INSERT INTO ora_customers (customer_id, first_name, last_nam",1 row(s) inserted.,1
31,0.01,"INSERT INTO ora_customers (customer_id, first_name, last_nam",1 row(s) inserted.,1
32,0.17,"INSERT INTO ora_staffs (staff_id, first_name, last_name, ema","ORA-08002: sequence STAFFID_SEQ.CURRVAL is not yet defined in this session
ORA-06512: at ""SYS.DBMS_SQL"", line 1721",
33,0.00,"INSERT INTO ora_staffs (staff_id, first_name, last_name, ema",1 row(s) inserted.,1
34,0.00,"INSERT INTO ora_staffs (staff_id, first_name, last_name, ema",1 row(s) inserted.,1
35,0.00,"INSERT INTO ora_staffs (staff_id, first_name, last_name, ema","Error at line 2/1: ORA-00947: not enough values
ORA-06512: at ""SYS.WWV_DBMS_SQL_APEX_220200"", line 828
ORA-06512: at ""SYS.DBMS_SYS_SQL"", line 1658
ORA-06512: at ""SYS.WWV_DBMS_SQL_APEX_220200"", line 813
ORA-06512: at ""APEX_220200.WWV_FLOW_DYNAMIC_EXEC"", line 2046",
36,0.00,"INSERT INTO ora_stocks (store_id, product_id, quantity) VALU","Error at line 1/13: ORA-00913: too many values
ORA-06512: at ""SYS.WWV_DBMS_SQL_APEX_220200"", line 828
ORA-06512: at ""SYS.DBMS_SYS_SQL"", line 1658
ORA-06512: at ""SYS.WWV_DBMS_SQL_APEX_220200"", line 813
ORA-06512: at ""APEX_220200.WWV_FLOW_DYNAMIC_EXEC"", line 2046",
37,0.01,"INSERT INTO ora_stocks (store_id, product_id, quantity) VALU","Error at line 1/13: ORA-00913: too many values
ORA-06512: at ""SYS.WWV_DBMS_SQL_APEX_220200"", line 828
ORA-06512: at ""SYS.DBMS_SYS_SQL"", line 1658
ORA-06512: at ""SYS.WWV_DBMS_SQL_APEX_220200"", line 813
ORA-06512: at ""APEX_220200.WWV_FLOW_DYNAMIC_EXEC"", line 2046",
38,0.00,"INSERT INTO ora_stocks (store_id, product_id, quantity) VALU","Error at line 1/13: ORA-00913: too many values
ORA-06512: at ""SYS.WWV_DBMS_SQL_APEX_220200"", line 828
ORA-06512: at ""SYS.DBMS_SYS_SQL"", line 1658
ORA-06512: at ""SYS.WWV_DBMS_SQL_APEX_220200"", line 813
ORA-06512: at ""APEX_220200.WWV_FLOW_DYNAMIC_EXEC"", line 2046",
39,0.00,"INSERT INTO ora_order_items (order_item_id, order_id, produc","Error at line 1/30: ORA-00904: ""ORDER_ITEM_ID"": invalid identifier
ORA-06512: at ""SYS.WWV_DBMS_SQL_APEX_220200"", line 828
ORA-06512: at ""SYS.DBMS_SYS_SQL"", line 1658
ORA-06512: at ""SYS.WWV_DBMS_SQL_APEX_220200"", line 813
ORA-06512: at ""APEX_220200.WWV_FLOW_DYNAMIC_EXEC"", line 2046",
40,0.00,"INSERT INTO ora_order_items (order_item_id, order_id, produc","Error at line 1/30: ORA-00904: ""ORDER_ITEM_ID"": invalid identifier
ORA-06512: at ""SYS.WWV_DBMS_SQL_APEX_220200"", line 828
ORA-06512: at ""SYS.DBMS_SYS_SQL"", line 1658
ORA-06512: at ""SYS.WWV_DBMS_SQL_APEX_220200"", line 813
ORA-06512: at ""APEX_220200.WWV_FLOW_DYNAMIC_EXEC"", line 2046",
41,0.01,"INSERT INTO ora_order_items (order_item_id, order_id, produc","Error at line 1/30: ORA-00904: ""ORDER_ITEM_ID"": invalid identifier
ORA-06512: at ""SYS.WWV_DBMS_SQL_APEX_220200"", line 828
ORA-06512: at ""SYS.DBMS_SYS_SQL"", line 1658
ORA-06512: at ""SYS.WWV_DBMS_SQL_APEX_220200"", line 813
ORA-06512: at ""APEX_220200.WWV_FLOW_DYNAMIC_EXEC"", line 2046",
42,0.00,"INSERT INTO ora_order_items (order_item_id, order_id, produc","Error at line 1/30: ORA-00904: ""ORDER_ITEM_ID"": invalid identifier
ORA-06512: at ""SYS.WWV_DBMS_SQL_APEX_220200"", line 828
ORA-06512: at ""SYS.DBMS_SYS_SQL"", line 1658
ORA-06512: at ""SYS.WWV_DBMS_SQL_APEX_220200"", line 813
ORA-06512: at ""APEX_220200.WWV_FLOW_DYNAMIC_EXEC"", line 2046",
43,0.00,CREATE INDEX idx_cust_email ON ora_customers (email),"Error at line 1/47: ORA-01408: such column list already indexed
ORA-06512: at ""SYS.WWV_DBMS_SQL_APEX_220200"", line 828
ORA-06512: at ""SYS.DBMS_SYS_SQL"", line 1658
ORA-06512: at ""SYS.WWV_DBMS_SQL_APEX_220200"", line 813
ORA-06512: at ""APEX_220200.WWV_FLOW_DYNAMIC_EXEC"", line 2046",
44,0.00,CREATE VIEW vw_staff_store_orders AS SELECT      s.first_nam,"Error at line 1/13: ORA-00955: name is already used by an existing object
ORA-06512: at ""SYS.WWV_DBMS_SQL_APEX_220200"", line 828
ORA-06512: at ""SYS.DBMS_SYS_SQL"", line 1658
ORA-06512: at ""SYS.WWV_DBMS_SQL_APEX_220200"", line 813
ORA-06512: at ""APEX_220200.WWV_FLOW_DYNAMIC_EXEC"", line 2046",
